F,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26
0,0.006796117,0.003053435,0.00238379,0,0,0,0.00748363,0.002178649,0.002178649,0.002162162,0,0,0,0.009564293,0.009564293,0.009564293,0,0,0,0.004750594,0.006764374,0.00232288,0.00232288,0.002747253,0.002503129,0.005791506
1,0.003883495,0,0,0,0,0,0.003741815,0,0,0,0,0,0,0.006376196,0.006376196,0.006376196,0,0,0,0,0.003382187,0,0,0,0,0.002895753
2,0.001941748,0,0,0,0,0,0.000935454,0,0,0,0,0,0,0.003188098,0.003188098,0.003188098,0,0,0,0,0.001127396,0,0,0,0,0.000965251
3,0.002912621,0,0,0,0,0,0,0,0,0,0,0,0,0.003188098,0.003188098,0.003188098,0,0,0,0,0.002254791,0.00116144,0.00116144,0,0,0.001930502
4,0.004854369,0.007633588,0.005959476,0.010166359,0.005875441,0.005875441,0,0,0,0.006486486,0.008484848,0,0.008484848,0.004250797,0.004250797,0.004250797,0,0,0.002560819,0.003562945,0.005636979,0.011614402,0.011614402,0,0.008760951,0.004826255
5,0.018446602,0.036641221,0.036948749,0.024953789,0.03172738,0.03172738,0.014967259,0.026143791,0.026143791,0.027027027,0.042424242,0.044871795,0.042424242,0.021253985,0.021253985,0.021253985,0.044871795,0.044871795,0.026888604,0.022565321,0.027057497,0.027874564,0.027874564,0.03021978,0.035043805,0.019305019
6,0.042718447,0.071755725,0.075089392,0.040665434,0.064629847,0.064629847,0.044901777,0.066448802,0.066448802,0.058378378,0.077575758,0.123931624,0.077575758,0.058448459,0.058448459,0.058448459,0.123931624,0.123931624,0.069142125,0.064133017,0.064261556,0.048780488,0.048780488,0.076923077,0.066332916,0.046332046
7,0.063106796,0.099236641,0.098927294,0.054528651,0.08813161,0.08813161,0.074836296,0.092592593,0.092592593,0.078918919,0.100606061,0.158119658,0.100606061,0.091392136,0.091392136,0.091392136,0.158119658,0.158119658,0.098591549,0.098574822,0.095828636,0.067363531,0.067363531,0.107142857,0.091364205,0.066602317
8,0.06407767,0.105343511,0.092967819,0.06284658,0.091656874,0.091656874,0.07857811,0.086056645,0.086056645,0.072432432,0.104242424,0.102564103,0.104242424,0.082890542,0.082890542,0.082890542,0.102564103,0.102564103,0.089628681,0.089073634,0.091319053,0.078977933,0.078977933,0.09478022,0.096370463,0.061776062
9,0.050485437,0.083969466,0.067938021,0.064695009,0.07520564,0.07520564,0.058933583,0.059912854,0.059912854,0.047567568,0.092121212,0.042735043,0.092121212,0.054197662,0.054197662,0.054197662,0.042735043,0.042735043,0.061459667,0.052256532,0.059751973,0.076655052,0.076655052,0.061813187,0.08135169,0.045366795
10,0.04368932,0.053435115,0.045292014,0.060998152,0.051703878,0.051703878,0.046772685,0.046840959,0.046840959,0.029189189,0.073939394,0.036324786,0.073939394,0.041445271,0.041445271,0.041445271,0.036324786,0.036324786,0.04609475,0.028503563,0.037204059,0.06271777,0.06271777,0.043956044,0.057571965,0.042471042
11,0.047572816,0.030534351,0.034564958,0.054528651,0.035252644,0.035252644,0.048643592,0.049019608,0.049019608,0.025945946,0.060606061,0.047008547,0.060606061,0.04357067,0.04357067,0.04357067,0.047008547,0.047008547,0.04609475,0.024940618,0.036076663,0.044134727,0.044134727,0.043956044,0.038798498,0.049227799
12,0.050485437,0.022900763,0.032181168,0.049907579,0.03172738,0.03172738,0.049579046,0.047930283,0.047930283,0.03027027,0.052121212,0.042735043,0.052121212,0.044633369,0.044633369,0.044633369,0.042735043,0.042735043,0.052496799,0.029691211,0.037204059,0.027874564,0.027874564,0.043956044,0.031289111,0.053088803
13,0.048543689,0.025954198,0.034564958,0.04805915,0.03760282,0.03760282,0.044901777,0.040305011,0.040305011,0.038918919,0.04969697,0.027777778,0.04969697,0.041445271,0.041445271,0.041445271,0.027777778,0.027777778,0.057618438,0.034441805,0.032694476,0.022067364,0.022067364,0.041208791,0.035043805,0.05019305
14,0.046601942,0.036641221,0.041716329,0.051756007,0.047003525,0.047003525,0.043966324,0.039215686,0.039215686,0.047567568,0.048484848,0.021367521,0.048484848,0.040382572,0.040382572,0.040382572,0.021367521,0.021367521,0.061459667,0.040380048,0.032694476,0.027874564,0.027874564,0.042582418,0.042553191,0.049227799
15,0.052427184,0.050381679,0.050059595,0.058225508,0.05640423,0.05640423,0.0505145,0.046840959,0.046840959,0.057297297,0.048484848,0.025641026,0.048484848,0.045696068,0.045696068,0.045696068,0.025641026,0.025641026,0.061459667,0.047505938,0.042841037,0.044134727,0.044134727,0.048076923,0.052565707,0.055984556
16,0.06407767,0.059541985,0.058402861,0.066543438,0.063454759,0.063454759,0.06080449,0.05664488,0.05664488,0.069189189,0.047272727,0.034188034,0.047272727,0.055260361,0.055260361,0.055260361,0.034188034,0.034188034,0.060179257,0.058194774,0.059751973,0.06387921,0.06387921,0.054945055,0.060075094,0.066602317
17,0.076699029,0.065648855,0.063170441,0.072088725,0.065804935,0.065804935,0.069223573,0.064270153,0.064270153,0.081081081,0.046060606,0.042735043,0.046060606,0.064824655,0.064824655,0.064824655,0.042735043,0.042735043,0.057618438,0.076009501,0.073280722,0.080139373,0.080139373,0.057692308,0.063829787,0.076254826
18,0.081553398,0.065648855,0.064362336,0.073012939,0.063454759,0.063454759,0.072965388,0.065359477,0.065359477,0.088648649,0.042424242,0.047008547,0.042424242,0.068012752,0.068012752,0.068012752,0.047008547,0.047008547,0.052496799,0.090261283,0.0789177,0.085946574,0.085946574,0.059065934,0.062578223,0.079150579
19,0.075728155,0.061068702,0.059594756,0.068391867,0.058754407,0.058754407,0.069223573,0.063180828,0.063180828,0.084324324,0.038787879,0.049145299,0.038787879,0.065887354,0.065887354,0.065887354,0.049145299,0.049145299,0.04609475,0.086698337,0.073280722,0.078977933,0.078977933,0.054945055,0.057571965,0.073359073
20,0.063106796,0.050381679,0.05125149,0.057301294,0.049353702,0.049353702,0.059869036,0.054466231,0.054466231,0.068108108,0.031515152,0.049145299,0.031515152,0.05738576,0.05738576,0.05738576,0.049145299,0.049145299,0.039692702,0.066508314,0.059751973,0.06271777,0.06271777,0.049450549,0.047559449,0.05984556
21,0.045631068,0.036641221,0.040524434,0.042513863,0.038777908,0.038777908,0.046772685,0.043572985,0.043572985,0.046486486,0.023030303,0.042735043,0.023030303,0.044633369,0.044633369,0.044633369,0.042735043,0.042735043,0.032010243,0.042755344,0.041713641,0.044134727,0.044134727,0.039835165,0.035043805,0.044401544
22,0.029126214,0.022900763,0.028605483,0.026802218,0.027027027,0.027027027,0.032740879,0.030501089,0.030501089,0.027027027,0.012121212,0.036324786,0.012121212,0.031880978,0.031880978,0.031880978,0.036324786,0.036324786,0.023047375,0.024940618,0.024802706,0.026713124,0.026713124,0.028846154,0.02252816,0.027992278
23,0.015533981,0.010687023,0.015494636,0.012014787,0.016451234,0.016451234,0.019644528,0.018518519,0.018518519,0.012972973,0,0.025641026,0,0.020191286,0.020191286,0.020191286,0.025641026,0.025641026,0.015364917,0.014251781,0.012401353,0.013937282,0.013937282,0.017857143,0.01126408,0.016409266
